DP,Total Ocorrencias,Rank,pop_density
Campo Limpo,97757.0,1.0,16.513
Capão Redondo,93145.0,2.0,19.759
Campos Elísios,90961.0,3.0,7.472
São Mateus,83592.0,4.0,10.908
Jabaquara,82897.0,5.0,15.871
Sé,82870.0,6.0,11262.0
Santo Amaro,82051.0,7.0,4.587
Itaim Paulista,78412.0,8.0,18.673
Parque Santo Antônio,76259.0,9.0,4.587
Jardim Míriam,68945.0,10.0,5.965
Vila Clementino,68111.0,11.0,10.954
Jardim das Imbuias,66494.0,12.0,7.899
Jaçanã,62257.0,13.0,12.129
Pinheiros,61707.0,14.0,8.171
Vila Ema,59648.0,15.0,12.811
Perdizes,59050.0,16.0,18.223
Penha de França,58472.0,17.0,11.312
Campo Belo,57642.0,18.0,7.472
Jardim Herculano,57363.0,19.0,14.84
Heliópolis,56353.0,20.0,12.735
Teotônio Vilela,56297.0,21.0,10.954
São Miguel Paulista,55437.0,22.0,12.277
Jaraguá,55384.0,23.0,6.696
Vila Rica,53348.0,24.0,5.484
Monções,53206.0,25.0,11262.0
Perus,52064.0,26.0,3.355
Cidade A E Carvalho,51938.0,27.0,6.702
Vila Sonia,51727.0,28.0,10.954
Jardim Mirna,51670.0,29.0,7.899
Ipiranga,51546.0,30.0,10.178
Consolação,50590.0,31.0,15.504
Lapa,49440.0,32.0,6.574
Butantã,48750.0,33.0,4.336
Casa Verde,48707.0,34.0,12.06
Pari,48601.0,35.0,5.965
Vila Jacuí,48529.0,36.0,18.49
Carandiru,47840.0,37.0,12.129
Vila Matilde,47531.0,38.0,11.792
Guaianazes,47250.0,39.0,17.882
Ponte Rasa,47236.0,40.0,14.671
Cidade Ademar,46368.0,41.0,22.223
Tatuapé,46138.0,42.0,11.18
Vale do Aricanduva,44482.0,43.0,13.579
Parque São Rafael,44018.0,44.0,11.934
Itaim Bibi,43904.0,45.0,9.351
Freguesia do Ó,43903.0,46.0,13.555
Pirituba,42534.0,47.0,9.821
Itaquera,42306.0,48.0,14.032
Jardim Arpoador,41960.0,49.0,5.965
Cidade Tiradentes,41512.0,50.0,14.1
Jardins,40945.0,51.0,11262.0
Parque São Lucas,40526.0,52.0,14378.0
Parque do Carmo,40315.0,53.0,4.432
Ermelino Matarazzo,40306.0,54.0,13.059
Portal do Morumbi,40119.0,55.0,4.119
Americanópolis,39872.0,56.0,11262.0
Santa Cecília,39824.0,57.0,21466.0
Parque Novo Mundo,39497.0,58.0,4.432
Lajeado,39146.0,59.0,12.093
Jaguaré,39002.0,60.0,7.555
Vila Gustavo,38964.0,61.0,10.954
Vila Amália,38541.0,62.0,5.484
Aclimação,37731.0,63.0,12.735
Campo Grande,37502.0,64.0,7.688
Vila Joaniza,36423.0,65.0,10.954
Cidade Dutra,35860.0,66.0,6.702
Cambuci,35731.0,67.0,9.474
Jardim Noemia,34602.0,68.0,7.899
Brás,34252.0,69.0,8.361
Cohab Itaquera,33884.0,70.0,14.032
Vila Pereira Barreto,33591.0,71.0,12.811
Sacomã,33406.0,72.0,17.454
Vila Mariana,32836.0,73.0,15173.0
Água Fria,32554.0,74.0,12.313
Vila Santa Maria,31778.0,75.0,10.954
Parque Bristol,31567.0,76.0,5.965
Vila Penteado,31470.0,77.0,10529.0
Vila Maria,30883.0,78.0,9616.0
Parelheiros,30762.0,79.0,855.0
Vila Alpina,30275.0,80.0,15173.0
Jardim Robru,29381.0,81.0,10.845
Artur Alvim,27877.0,82.0,15.95
Ceagesp,26231.0,83.0,11262.0
Socorro,26080.0,84.0,2.929
Vila Brasilândia,24356.0,85.0,12.615
Parque São Jorge,21425.0,86.0,11.934
Vila Diva,21196.0,87.0,5.484
Bom Retiro,21092.0,88.0,8473.0
Vila Formosa,20820.0,89.0,12.811
Vila Carrão,20423.0,90.0,11.104
Parque da Moóca,17385.0,91.0,4.432
Belém,13083.0,92.0,7.51
Alto da Moóca,10945.0,93.0,9.834
