DP,Coordenadas,Total Ocorrencias,Rank,Group,Color
001 DP - Sé,"[-23.5569803, -46.6343707]",244476.123,1.0,6,#FF0D0D
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",231824.46,2.0,6,#FF0D0D
011 DP - Santo Amaro,"[-23.6468944, -46.70744670000001]",213235.0,3.0,6,#FF0D0D
023 DP - Perdizes,"[-23.5369322, -46.6653372]",202543.723,4.0,6,#FF0D0D
014 DP - Pinheiros,"[-23.5617968, -46.6912197]",202082.151,5.0,6,#FF0D0D
007 DP - Lapa,"[-23.5295435, -46.6951429]",164979.0,6.0,6,#FF0D0D
012 DP - Pari,"[-23.5297112, -46.6123533]",162299.174,7.0,6,#FF0D0D
016 DP - Vila Clementino,"[-23.6017887, -46.6377481]",162122.0,8.0,6,#FF0D0D
037 DP - Campo Limpo,"[-23.6329013, -46.77042369999999]",160623.0,9.0,6,#FF0D0D
004 DP - Consolação,"[-23.5506416, -46.6500727]",152004.072,10.0,6,#FF0D0D
078 DP - Jardins,"[-23.5660725, -46.6692885]",149598.522,11.0,6,#FF0D0D
049 DP - São Mateus,"[-23.6054835, -46.4707403]",148344.0,12.0,6,#FF0D0D
035 DP - Jabaquara,"[-23.639392, -46.6433401]",142915.0,13.0,6,#FF0D0D
009 DP - Carandiru,"[-23.5032146, -46.6127013]",142305.0,14.0,6,#FF0D0D
047 DP - Capão Redondo,"[-23.6647883, -46.7826795]",138260.0,15.0,6,#FF0D0D
013 DP - Casa Verde,"[-23.5004813, -46.6491267]",135106.187,16.0,6,#FF0D0D
096 DP - Monções,"[-23.6043439, -46.692907]",135024.068,17.0,5,#FF4E11
027 DP - Campo Belo,"[-23.6152298, -46.67501009999999]",133930.0,18.0,5,#FF4E11
030 DP - Tatuapé,"[-23.5499136, -46.5677709]",129662.0,19.0,5,#FF4E11
092 DP - Parque Santo Antônio,"[-23.6629003, -46.7561995]",128935.0,20.0,5,#FF4E11
015 DP - Itaim Bibi,"[-23.5816982, -46.6745348]",128751.584,21.0,5,#FF4E11
010 DP - Penha de França,"[-23.5288165, -46.5540478]",128025.0,22.0,5,#FF4E11
050 DP - Itaim Paulista,"[-23.5046049, -46.39673579999999]",126187.0,23.0,5,#FF4E11
005 DP - Aclimação,"[-23.5657615, -46.638262]",123134.0,24.0,5,#FF4E11
017 DP - Ipiranga,"[-23.5909007, -46.6087102]",115821.0,25.0,5,#FF4E11
034 DP - Vila Sonia,"[-23.5882146, -46.72672619999999]",115494.0,26.0,5,#FF4E11
073 DP - Jaçanã,"[-23.4586446, -46.5853353]",114154.0,27.0,5,#FF4E11
101 DP - Jardim das Imbuias,"[-23.7297691, -46.709445]",109718.0,28.0,5,#FF4E11
008 DP - Brás,"[-23.5483289, -46.5937954]",107855.0,29.0,5,#FF4E11
077 DP - Santa Cecília,"[-23.5366674, -46.6489398]",107110.0,30.0,5,#FF4E11
022 DP - São Miguel Paulista,"[-23.4963086, -46.4412205]",106615.0,31.0,5,#FF4E11
036 DP - Vila Mariana,"[-23.5790007, -46.6511819]",103034.482,32.0,4,#FF8E15
098 DP - Jardim Míriam,"[-23.6851295, -46.6372457]",101718.0,33.0,4,#FF8E15
006 DP - Cambuci,"[-23.567624, -46.6235614]",100593.0,34.0,4,#FF8E15
064 DP - Cidade A E Carvalho,"[-23.5240747, -46.4754671]",99033.0,35.0,4,#FF8E15
069 DP - Teotônio Vilela,"[-23.6082362, -46.5008084]",98817.0,36.0,4,#FF8E15
041 DP - Vila Rica,"[-23.5793692, -46.5174278]",98434.0,37.0,4,#FF8E15
