DP,Coordenadas,Total Ocorrencias,Rank,Group,Color
037 DP - Campo Limpo,"[-23.6329013, -46.77042369999999]",97757.0,1.0,6,#FF0D0D
047 DP - Capão Redondo,"[-23.6647883, -46.7826795]",93145.0,2.0,6,#FF0D0D
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",90961.0,3.0,6,#FF0D0D
049 DP - São Mateus,"[-23.6054835, -46.4707403]",83592.0,4.0,6,#FF0D0D
035 DP - Jabaquara,"[-23.639392, -46.6433401]",82897.0,5.0,6,#FF0D0D
001 DP - Sé,"[-23.5569803, -46.6343707]",82870.0,6.0,6,#FF0D0D
011 DP - Santo Amaro,"[-23.6468944, -46.70744670000001]",82051.0,7.0,6,#FF0D0D
050 DP - Itaim Paulista,"[-23.5046049, -46.39673579999999]",78412.0,8.0,6,#FF0D0D
092 DP - Parque Santo Antônio,"[-23.6629003, -46.7561995]",76259.0,9.0,6,#FF0D0D
098 DP - Jardim Míriam,"[-23.6851295, -46.6372457]",68945.0,10.0,6,#FF0D0D
016 DP - Vila Clementino,"[-23.6017887, -46.6377481]",68111.0,11.0,6,#FF0D0D
101 DP - Jardim das Imbuias,"[-23.7297691, -46.709445]",66494.0,12.0,6,#FF0D0D
073 DP - Jaçanã,"[-23.4586446, -46.5853353]",62257.0,13.0,6,#FF0D0D
014 DP - Pinheiros,"[-23.5617968, -46.6912197]",61707.0,14.0,6,#FF0D0D
070 DP - Vila Ema,"[-23.5987209, -46.5333003]",59648.0,15.0,6,#FF0D0D
023 DP - Perdizes,"[-23.5369322, -46.6653372]",59050.0,16.0,6,#FF0D0D
010 DP - Penha de França,"[-23.5288165, -46.5540478]",58472.0,17.0,5,#FF4E11
027 DP - Campo Belo,"[-23.6152298, -46.67501009999999]",57642.0,18.0,5,#FF4E11
100 DP - Jardim Herculano,"[-23.6929887, -46.7599783]",57363.0,19.0,5,#FF4E11
095 DP - Heliópolis,"[-23.606231, -46.593887]",56353.0,20.0,5,#FF4E11
069 DP - Teotônio Vilela,"[-23.6082362, -46.5008084]",56297.0,21.0,5,#FF4E11
022 DP - São Miguel Paulista,"[-23.4963086, -46.4412205]",55437.0,22.0,5,#FF4E11
