distrito,area,pop,population_density
Aricanduva,"6,60",89.622,13.579
Carrão,"7,50",83.281,11.104
Vila Formosa,"7,40",94.799,12.811
Butantã,"12,50",54.196,4.336
Morumbi,"11,40",46.957,4.119
Raposo Tavares,"12,60",100.164,7.950
Rio Pequeno,"9,70",118.459,12.212
Vila Sônia,"9,90",108.441,10.954
Campo Limpo,"12,80",211.361,16.513
Capão Redondo,"13,60",268.729,19.759
Vila Andrade,"10,30",127.015,12.332
Cidade Dutra,"29,30",196.360,6.702
Grajaú,"92,00",360.787,3.922
Socorro,12.90,37.783,2.929
Cachoeirinha,"13,30",143.523,10.791
Casa Verde,"7,10",85.624,12.060
Limão,"6,30",80.229,12.735
Cidade Ademar,"12,00",266.681,22.223
Pedreira,"18,70",144.317,7.717
Cidade Tiradentes,"15,00",211.501,14.100
Ermelino Matarazzo,"8,70",113.615,13.059
Ponte Rasa,"6,40",93.894,14.671
Brasilândia,"21,00",264.918,12.615
Freguesia do Ó,"10,50",142.327,13.555
Lajeado,"9,20",164.512,12.093
Guaianases,"8,60",103.996,17.882
Cursino,"12,80",109.088,8.523
Ipiranga,"10,50",106.865,10.178
Sacomã,"14,20",247.851,17.454
Itaim Paulista,"12,00",224.074,18.673
Vila Curuçá,"9,70",149.053,15.366
Cidade Líder,"10,20",126.597,12.411
Itaquera,"14,60",204.871,14.032
José Bonifácio,"14,10",124.122,8.803
Parque do Carmo,"15,40",68.258,4.432
Jabaquara,"14,10",223.780,15.871
Jaçanã,"7,80",94.609,12.129
Tremembé,"56,30",197.258,3.504
Barra Funda,"5,60",14.383,2.568
Jaguara,"4,60",24.895,5.412
Jaguaré,"6,60",49.863,7.555
Lapa,"10,00",65.739,6.574
Perdizes,6.10,111.161,18.223
Vila Leopoldina,"7,20",39.485,5.484
Jardim Ângela,"37,40",295.434,7.899
Jardim São Luís,"24,70",267.871,10.845
Água Rasa,"6,90",84.963,12.313
Belém,"6,00",45.057,7.510
Brás,"3,50",29.265,8.361
Mooca,"7,70",75.724,9.834
Pari,"2,90",17.299,5.965
Tatuapé,"8,20",91.672,11.180
Marsilac,"200,00",8.258,41
Parelheiros,"153,50",131.183,855
Artur Alvim,"6,60",105.269,15.950
Cangaíba,"16,00",136.623,8.539
Penha,"11,30",127.820,11.312
Vila Matilde,"8,9",104.947,11.792
Anhanguera,"33,30",65.859,1.978
Perus,"23,90",80.187,3.355
Alto de Pinheiros,"7,70",43.117,5.600
Itaim Bibi,"9,90",92.570,9.351
Jardim Paulista,"6,10",88.692,14.540
Pinheiros,"8,00",65.364,8.171
Jaraguá,"27,60",184.818,6.696
Pirituba,"17,10",167.931,9.821
São Domingos,"10,00",84.843,8.484
Mandaqui,"13,10",107.580,8.212
Santana,"12,60",118.797,9.428
Tucuruvi,"9,00",98.438,10.938
Campo Belo,"8,80",65.752,7.472
Campo Grande,"13,10",100.713,7.688
Santo Amaro,"15,60",71.560,4.587
Iguatemi,"19,60",127.662,6.513
São Rafael,"13,00",143.992,11.934
São Mateus,"13,20",155.140,10.908
São Miguel,"7,50",92.081,12.277
Jardim Helena,"9,10",135.043,14.840
Vila Jacuí,"7,70",142.372,18.490
Sapopemba,"13,50",284.524,21.076
Bela Vista,"2,60",69.460,26.715
Bom Retiro,"4,00",33.892,"8,473"
Cambuci,"3,90",36.948,9.474
Consolação,"3,70",57.365,15.504
Liberdade,"3,70",69.092,18.674
República,"2,30",56.981,24.774
Santa Cecília,"3,90",83.717,"21,466"
Sé,"2,10",23.651,"11,262"
Vila Guilherme,"6,90",54.331,"7,874"
Vila Maria,"11,80",113.463,"9,616"
Vila Medeiros,"7,70",129.919,"16,873"
Moema,"9,00",83.368,"9,263"
Saúde,"8,90",130.780,"14,694"
Vila Mariana,"8,60",130.484,"15,173"
São Lucas,"9,90",142.347,"14,378"
Vila Prudente,"9,90",104.242,"10,529"
