bairro,alteracao_mensal,preco_m2,preco_medio
Jardim América,+0.93%,R$ 24.571,R$ 12.779.955
Jardim Panorama,+4.08%,R$ 22.750,R$ 12.421.293
Jardim Europa,+0.94%,R$ 22.185,R$ 7.248.857
Jardim Paulistano,+0.84%,R$ 21.439,R$ 6.567.892
Vila Nova Conceição,+0.48%,R$ 20.983,R$ 4.513.952
Chácara Itaim,+0.33%,R$ 19.330,R$ 6.459.670
Jardim Luzitânia,+1.91%,R$ 18.943,R$ 10.064.725
Itaim Bibi,+0.70%,R$ 18.658,R$ 3.792.207
Vila Olímpia,+0.60%,R$ 17.437,R$ 2.210.373
Moema,+0.37%,R$ 15.967,R$ 3.225.070
Cerqueira César,+0.40%,R$ 15.717,R$ 2.599.638
Jardim Paulista,+0.78%,R$ 14.859,R$ 3.187.808
Pinheiros,+0.52%,R$ 14.324,R$ 1.753.103
Paraíso,+0.32%,R$ 14.128,R$ 2.736.711
Jardim das Bandeiras,+0.30%,R$ 14.078,R$ 2.436.703
Jardim Aurélia,+0.37%,R$ 13.750,R$ 1.940.396
Sumarezinho,+1.19%,R$ 13.732,R$ 1.868.419
Vila Uberabinha,+0.44%,R$ 13.727,R$ 2.353.559
Vila Gertrudes,+0.42%,R$ 13.696,R$ 1.485.376
Indianópolis,+0.41%,R$ 13.452,R$ 2.151.427
Cidade Monções,+0.75%,R$ 13.291,R$ 1.722.186
Alto de Pinheiros,-0.61%,R$ 12.935,R$ 4.391.190
Jardim das Acácias,+0.88%,R$ 12.611,R$ 1.382.952
Vila Madalena,+0.37%,R$ 12.490,R$ 2.517.004
Consolação,-0.05%,R$ 12.230,R$ 1.468.835
Higienópolis,+0.07%,R$ 12.049,R$ 2.860.631
Vila Mariana,+0.50%,R$ 11.957,R$ 1.706.940
Cidade Jardim,+2.68%,R$ 11.873,R$ 6.666.767
Vila Cordeiro,+0.82%,R$ 11.645,R$ 1.587.916
Campo Belo,+0.48%,R$ 11.577,R$ 2.182.391
Brooklin Paulista,+0.63%,R$ 11.549,R$ 1.812.960
Vila Clementino,+0.37%,R$ 11.494,R$ 1.291.694
Jardim Vila Mariana,+0.45%,R$ 11.486,R$ 2.036.016
Perdizes,+0.24%,R$ 11.140,R$ 1.599.328
Sumaré,-0.10%,R$ 10.808,R$ 1.847.801
Água Branca,+0.33%,R$ 10.732,R$ 1.297.028
Várzea da Barra Funda,-0.04%,R$ 10.714,R$ 1.051.003
Vila Pompéia,+0.05%,R$ 10.667,R$ 1.040.295
Boaçava,+0.48%,R$ 10.626,R$ 3.755.768
Retiro Morumbi,+1.44%,R$ 10.459,R$ 12.384.245
Vila Leopoldina,+0.23%,R$ 10.443,R$ 1.239.811
Vila Romana,+0.12%,R$ 10.396,R$ 1.485.219
Vila Cruzeiro,+0.77%,R$ 10.330,R$ 1.355.404
Alto da Lapa,+0.28%,R$ 10.317,R$ 1.972.691
Santa Cecília,-0.14%,R$ 10.298,R$ 2.013.848
Parque Colonial,+1.09%,R$ 10.294,R$ 2.894.656
Brooklin Novo,+0.44%,R$ 10.276,R$ 1.622.392
Vila Progredior,-0.11%,R$ 10.244,R$ 1.906.559
Vila Anastácio,+0.37%,R$ 10.207,R$ 1.054.892
Jardim Caravelas,+1.06%,R$ 10.046,R$ 1.043.950
Parque Industrial Tomas Edson,+0.60%,R$ 10.026,R$ 942.648
Vila Anglo Brasileira,-0.34%,R$ 9.950,R$ 1.060.000
Chácara Santo Antônio Zona Sul,+0.21%,R$ 9.894,R$ 1.522.714
Várzea de Baixo,+0.69%,R$ 9.814,R$ 1.219.429
Vila Hamburguesa,+0.07%,R$ 9.804,R$ 1.278.215
Jardim dos Estados,-0.20%,R$ 9.749,R$ 6.259.660
Vila Ipojuca,-0.19%,R$ 9.690,R$ 1.256.997
Bela Vista,+0.12%,R$ 9.630,R$ 862.760
Jardim Dom Bosco,+0.76%,R$ 9.591,R$ 1.051.891
Mirandópolis,+0.07%,R$ 9.559,R$ 1.100.263
Parque do Morumbi,+0.80%,R$ 9.548,R$ 1.791.202
Santo Amaro,+0.48%,R$ 9.539,R$ 1.529.761
Jardim Vera Cruz,+0.23%,R$ 9.513,R$ 1.484.550
Pacaembu,-0.08%,R$ 9.488,R$ 3.880.187
Planalto Paulista,+0.48%,R$ 9.465,R$ 1.916.252
Jardim Everest,+1.07%,R$ 9.399,R$ 6.459.886
Jardim Anália Franco,+0.38%,R$ 9.369,R$ 2.268.803
Bela Aliança,+0.20%,R$ 9.362,R$ 1.847.083
Jardim Novo Mundo,+0.20%,R$ 9.333,R$ 2.824.806
Vila Ida,+0.67%,R$ 9.317,R$ 3.745.104
Jardim Glória,+0.80%,R$ 9.283,R$ 770.027
Chácara Inglesa,+0.33%,R$ 9.196,R$ 894.064
Aclimação,-0.17%,R$ 9.161,R$ 1.331.151
Vila Dom Pedro I,+0.71%,R$ 9.150,R$ 923.987
Barra Funda,+0.10%,R$ 9.091,R$ 704.404
Centro,+0.01%,R$ 9.082,R$ 507.785
Vila Buarque,-0.39%,R$ 9.062,R$ 690.572
Butantã,-0.08%,R$ 9.055,R$ 1.436.917
Jardim Guedala,-0.35%,R$ 9.042,R$ 5.684.219
Vila Zilda,+0.39%,R$ 9.024,R$ 898.582
Morro dos Ingleses,-0.17%,R$ 8.988,R$ 2.022.464
República,-0.27%,R$ 8.963,R$ 595.580
Alto da Boa Vista,-0.64%,R$ 8.920,R$ 2.318.949
Nova Piraju,-0.06%,R$ 8.894,R$ 748.979
Lapa,+0.27%,R$ 8.875,R$ 1.217.019
Jardim Fonte do Morumbi,+0.59%,R$ 8.865,R$ 2.322.832
Vila Congonhas,+0.04%,R$ 8.755,R$ 1.271.877
Vila da Saúde,+0.19%,R$ 8.722,R$ 853.894
Jardim Morumbi,+0.09%,R$ 8.698,R$ 3.082.371
Vila Firmiano Pinto,+1.04%,R$ 8.651,R$ 846.480
Vila Ester,+1.23%,R$ 8.634,R$ 1.282.910
Vila Gomes Cardim,+0.38%,R$ 8.618,R$ 1.348.398
Jardim Santo Amaro,+0.26%,R$ 8.603,R$ 1.283.934
